1,01E+18;en;02-07-18 1:34;Twitter for iPhone;139;0;642;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Steph;;360;1228
1,01E+18;en;02-07-18 1:34;Twitter Web Client;66;0;9727;WorldCup;Troll Football;TrollFootball;Top Boy!;Ottawa,ontario;403;266
1,01E+18;en;02-07-18 1:34;Hootsuite;113;0;0;ElTri,ElTriEng,MEXBRZ,WorldCup;;;jesse abundis;Los Angeles ;2315;1990
1,01E+18;en;02-07-18 1:34;Twitter for Android;95;0;790;ESP,WorldCup,RUS;Manchester United,David de Gea;ManUtd,D_DeGea;Rommel;;41;95
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Luis;Michigan;2113;996
1,01E+18;en;02-07-18 1:34;Twitter for Android;130;0;251;WorldCup;FIFA World Cup;WorIdCupUpdates;Aldobudi;Jakarta Pusat, DKI Jakarta;181;1924
1,01E+18;en;02-07-18 1:34;Twitter Lite;140;0;1;Israeli,Palestinian,children;Baz4peace;Baz4peace;allan crawshaw;Victoria, B.C.;3264;5003
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Teresa Borja;;45;119
1,01E+18;en;02-07-18 1:34;Twitter for Android;80;0;5344;WorldCup;B/R Football;brfootball;Aliff Syazuan;Kelantan, Malaysia;652;408
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;1274;WorldCup;Sam Matterface;sammatterface;Daniel;;798;987
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;115;0;6402;SPARUS,ESPRUS,WorldCup,worldcup2018,Worldcup2018Russia;Kenny Munro;kennymunro;el timido;Puerto Rico;555;296
1,01E+18;en;02-07-18 1:34;Twitter Lite;97;0;59;Colombia;Wilson A Bula;wilsonabula;ninfa butcher;;0;0
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;124;0;2102;WorldCup,ESPRUS,ESP;Denizcan Grimes;MrFilmkritik;Melissa Ventura;;50;246
1,01E+18;en;02-07-18 1:34;Twitter for Android;140;0;62;WorldCup,RUS,ESPRUS;Global Times;globaltimesnews;Rommel;;41;95
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;97;;Goal UK;GoalUK;Tengku Azlan Shah TJ;Bandar Shah Alam, Selangor;226;738
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Alan Porras;Where The Wild Things Are.;668;275
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;140;0;110;;Photos of Football;photosofootball;Don;;105;237
1,01E+18;en;02-07-18 1:34;Twitter for Android;140;0;5;;United Indonesia,David De Gea;UtdIndonesia,d_degeaofficial;Achmad Anshar17;Makassar, SulSel, Indonesia ;581;214
